,title,genre,budget,runtime,year,month,revenue
0,Oliver Twist,Crime,50000000,130.0,2005,9,42093706
1,X-Men: Apocalypse,Science Fiction,178000000,144.0,2016,5,543934787
2,Man on the Moon,Comedy,82000000,118.0,1999,12,47434430
3,The Tree of Life,Drama,32000000,139.0,2011,5,54674226
4,The Simpsons Movie,Animation,75000000,87.0,2007,7,527068851
5,Rio,Animation,90000000,96.0,2011,4,484635760
6,The Nutty Professor,Fantasy,54000000,95.0,1996,6,128769345
7,Hearts in Atlantis,Drama,31000000,101.0,2001,9,24185781
8,Stone Cold,Action,0,92.0,1991,5,0
9,Secretariat,Drama,35000000,123.0,2010,8,60251371
10,The Glimmer Man,Action,45000000,92.0,1996,10,0
11,Chicago,Action,45000000,113.0,2002,12,306776732
12,Dangerous Liaisons,Drama,14000000,119.0,1988,12,34670720
13,Evolution,,0,81.0,2015,9,0
14,Elf,Comedy,32000000,97.0,2003,10,173398518
15,Secondhand Lions,Comedy,0,111.0,2003,9,0
16,The Pink Panther,Action,0,93.0,2006,1,0
17,X-Men,Adventure,75000000,104.0,2000,7,296339527
18,Thor: The Dark World,Action,170000000,112.0,2013,10,644571402
19,Howl's Moving Castle,Fantasy,24000000,119.0,2004,11,234710455
20,The Four Feathers,,35000000,132.0,2002,9,29882645
21,Isn't She Great,Drama,36000000,95.0,2000,1,3003296
22,Allegiant,Adventure,110000000,121.0,2016,3,179246868
23,The Avengers,Science Fiction,220000000,143.0,2012,4,1519557910
24,Hidalgo,,100000000,136.0,2004,3,108103450
25,Delgo,Adventure,40000000,94.0,2008,12,0
26,Fled,Action,25000000,98.0,1996,7,17193231
27,The SpongeBob Movie: Sponge Out of Water,Animation,74000000,93.0,2015,2,311594032
28,The Boxtrolls,Animation,60000000,97.0,2014,9,108255770
29,Surf's Up,Animation,85000000,85.0,2007,6,149044513
30,The Wiz,Adventure,24000000,134.0,1978,10,21049053
31,Sinbad: Legend of the Seven Seas,,60000000,86.0,2003,7,26288320
32,Meet the Deedles,Animation,24000000,93.0,1998,3,4562146
33,Made of Honor,Comedy,40000000,101.0,2008,5,84601681
34,Mr. 3000,Comedy,30000000,104.0,2004,6,21800302
35,Pride & Prejudice,Drama,28000000,135.0,2005,9,121147947
36,The Legend of Bagger Vance,Fantasy,80000000,126.0,2000,11,39459427
37,Tango & Cash,Action,55000000,104.0,1989,12,63408614
38,Beloved,Drama,0,172.0,1998,10,0
39,Against the Ropes,Romance,39000000,106.0,2004,2,6614280
40,The Game,Drama,50000000,129.0,1997,9,109423648
41,27 Dresses,Comedy,30000000,111.0,2008,1,160259319
42,Lethal Weapon 4,Action,140000000,127.0,1998,7,285444603
43,Miss Potter,Drama,30000000,92.0,2006,12,35078241
44,Dawn of the Dead,Fantasy,28000000,101.0,2004,3,102356381
45,Kiss of Death,Action,40000000,101.0,1995,4,0
46,Hancock,Fantasy,150000000,92.0,2008,7,624029371
47,The Fast and the Furious: Tokyo Drift,Action,85000000,104.0,2006,6,158468292
48,Bogus,Fantasy,32000000,110.0,1996,9,0
49,30 Days of Night,Horror,30000000,113.0,2007,10,75505973
50,The Last of the Mohicans,Action,40000000,112.0,1992,9,75505856
51,Gladiator,Action,103000000,155.0,2000,5,457640427
52,Last Holiday,Adventure,45000000,112.0,2006,1,38399961
53,Mickey Blue Eyes,Comedy,0,102.0,1999,8,0
54,About Schmidt,Drama,30000000,125.0,2002,12,105834556
55,Freaky Friday,Comedy,26000000,97.0,2003,8,110230332
56,Alex & Emma,Comedy,30000000,96.0,2003,6,15368897
57,Curse of the Golden Flower,Action,110,114.0,2006,12,0
58,The Giver,Drama,25000000,94.0,2014,8,66980456
59,Paul,Adventure,40000000,104.0,2011,2,97552050
60,Grindhouse,Thriller,67000000,191.0,2007,4,25037897
61,The Curious Case of Benjamin Button,Fantasy,150000000,166.0,2008,11,333932083
62,Tears of the Sun,Action,70000000,121.0,2003,3,85632458
63,Date Night,Comedy,55000000,97.0,2010,4,152263880
64,Savages,Crime,45000000,131.0,2012,7,82966152
65,Straw Dogs,Drama,25000000,110.0,2011,9,10324441
66,The Twilight Saga: Breaking Dawn - Part 2,Adventure,120000000,115.0,2012,11,829000000
67,This Means War,Action,65000000,103.0,2012,2,156974557
68,Abduction,Thriller,35000000,106.0,2011,9,82087155
69,The Pacifier,Action,56000000,95.0,2005,3,113006880
70,Wyatt Earp,Drama,63000000,191.0,1994,6,25052000
71,The Watcher,,33000000,96.0,2000,9,0
72,Skyfall,Action,200000000,143.0,2012,10,1108561013
73,"I Love You, Man",Comedy,41000000,105.0,2009,3,91636986
74,The Losers,Action,25000000,97.0,2010,4,23580000
75,Outbreak,Action,50000000,127.0,1995,3,189859560
76,Star Trek: Nemesis,Science Fiction,60000000,117.0,2002,12,67312826
77,Flightplan,Thriller,55000000,98.0,2005,9,223387299
78,Carrie,Drama,30000000,100.0,2013,10,82394288
79,Don't Be Afraid of the Dark,Fantasy,25000000,99.0,2010,11,36993168
80,Moneyball,Drama,50000000,133.0,2011,9,110206216
81,Bolt,Animation,150000000,98.0,2008,11,309979994
82,Flight of the Intruder,Action,35000000,115.0,1991,1,0
83,As Good as It Gets,Comedy,50000000,139.0,1997,12,314178011
84,Accidental Love,Romance,26000000,100.0,2015,2,0
85,Parental Guidance,Comedy,25000000,104.0,2012,12,119772232
86,Nanny McPhee,Fantasy,25000000,97.0,2005,10,122489822
87,The Thin Red Line,Drama,52000000,170.0,1998,12,98126565
88,Baahubali: The Beginning,Action,40000000,159.0,2015,7,100000000
89,Wing Commander,Action,30000000,100.0,1999,3,0
90,Black Rain,Action,30000000,125.0,1989,9,45892212
91,Get Shorty,Comedy,30250000,105.0,1995,10,115101622
92,Dumb and Dumber To,Comedy,40000000,110.0,2014,11,169837010
93,The Da Vinci Code,Thriller,125000000,149.0,2006,5,767820459
94,Kill Bill: Vol. 1,Action,30000000,111.0,2003,10,180949000
95,The 33,Drama,25000000,120.0,2015,8,24902723
96,Aliens vs Predator: Requiem,Fantasy,40000000,94.0,2007,12,41797066
97,Night at the Museum,Action,110000000,108.0,2006,10,574480841
98,Mission: Impossible - Ghost Protocol,Action,145000000,133.0,2011,12,694713380
99,Down to Earth,Fantasy,0,87.0,2001,2,0
100,Because I Said So,Comedy,0,102.0,2007,2,69485490
101,Bringing Out the Dead,Drama,32000000,121.0,1999,10,0
102,Stardust,Adventure,70000000,127.0,2007,8,135560026
103,Winnie the Pooh,Animation,30000000,63.0,2011,4,14460000
104,Analyze This,Comedy,80000000,103.0,1999,3,176885658
105,Shrek 2,Adventure,150000000,93.0,2004,5,919838758
106,The Beach,Drama,40000000,119.0,2000,2,144056873
107,Wolf,Fantasy,0,125.0,1994,6,0
108,Cellular,Action,25000000,94.0,2004,9,56422687
109,Creed,Drama,37000000,133.0,2015,11,173567581
110,The Hobbit: The Desolation of Smaug,adventure,250000000,161.0,2013,12,958400000
111,Fantasia 2000,Animation,80000000,74.0,1999,12,90874570
112,Bullet to the Head,Action,55000000,92.0,2013,1,9489829
113,Final Destination 3,Horror,25000000,93.0,2006,2,117719158
114,The Princess and the Frog,Romance,105000000,97.0,2009,12,267045765
115,The Impossible,Thriller,42000000,113.0,2012,9,180274123
116,Liar Liar,Comedy,45000000,86.0,1997,3,181000000
117,Road to Perdition,Thriller,80000000,117.0,2002,7,181001478
118,A Beautiful Mind,Drama,60000000,135.0,2001,12,313542341
119,Space Pirate Captain Harlock,Animation,30000000,115.0,2013,9,17137302
120,Disclosure,Drama,55000000,123.0,1994,12,214015089
121,The Dark Knight Rises,Action,250000000,165.0,2012,7,1084939099
122,Hackers,Action,20000000,107.0,1995,9,7563728
123,The Taking of Pelham 1 2 3,Thriller,100000000,106.0,2009,6,150166126
124,The Matrix Revolutions,Adventure,150000000,129.0,2003,11,424988211
125,Hard Rain,Thriller,70000000,97.0,1998,1,19870567
126,The World's Fastest Indian,Drama,25000000,127.0,2005,10,0
127,Alvin and the Chipmunks: The Road Chip,Adventure,0,92.0,2015,12,233755553
128,A Bug's Life,Adventure,120000000,95.0,1998,11,363258859
129,Basic,Action,50000000,98.0,2003,4,42792561
130,Saving Private Ryan,Drama,70000000,169.0,1998,7,481840909
131,Deep Blue Sea,Action,60000000,105.0,1999,7,73648228
132,Hoodwinked Too! Hood VS. Evil,Comedy,30000000,86.0,2011,4,13521829
133,Thunder and the House of Magic,,34000000,85.0,2013,12,0
134,Fun with Dick and Jane,Comedy,100000000,90.0,2005,12,202026112
135,The Edge,Action,0,117.0,1997,9,43312294
136,Dracula Untold,Horror,70000000,92.0,2014,10,215529201
137,Cirque du Soleil: Worlds Away,Fantasy,0,91.0,2012,11,34153101
138,"Legally Blonde 2: Red, White & Blonde",Comedy,45000000,95.0,2003,7,124914842
139,Autumn in New York,Drama,65000000,103.0,2000,8,0
140,Salt,Action,110000000,100.0,2010,7,293329073
141,Racing Stripes,Comedy,30000000,102.0,2005,1,93772522
142,The Green Hornet,Action,120000000,119.0,2011,1,227817248
143,Extreme Measures,Drama,38000000,118.0,1996,9,17380126
144,Couples Retreat,Comedy,70000000,113.0,2009,9,171844840
145,Resident Evil,Horror,33000000,100.0,2002,3,102984862
146,The Lincoln Lawyer,Crime,40000000,119.0,2011,3,85412898
147,U-571,Action,62000000,116.0,2000,4,127666415
148,I Am Legend,Drama,150000000,101.0,2007,12,585349010
149,Hope Floats,Drama,0,114.0,1998,5,0
150,Flash Gordon,Science Fiction,35000000,111.0,1980,9,27107960
151,American Reunion,Comedy,50000000,113.0,2012,4,234989584
152,Ever After: A Cinderella Story,Drama,26000000,121.0,1998,7,65705772
153,Collateral,Drama,65000000,120.0,2004,8,217764291
154,The Three Stooges,Comedy,30000000,92.0,2012,4,54819301
155,Taken,Action,25000000,93.0,2008,2,226830568
156,2 Fast 2 Furious,Action,76000000,107.0,2003,6,236350661
157,R.I.P.D.,Fantasy,130000000,96.0,2013,7,61648500
158,Noah,Drama,125000000,139.0,2014,3,362637473
159,Arachnophobia,Comedy,31000000,103.0,1990,8,53208180
160,Finding Forrester,Drama,43000000,136.0,2000,12,80049764
161,Son of the Mask,Fantasy,84000000,94.0,2005,2,0
162,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,143.0,2005,12,748806957
163,16 Blocks,Action,55000000,105.0,2006,3,65664721
164,Super 8,Thriller,50000000,112.0,2011,6,260095987
165,Now You See Me,Thriller,75000000,115.0,2013,5,117698894
166,The Horse Whisperer,Drama,60000000,170.0,1998,5,186883563
167,Charlie St. Cloud,Drama,44000000,99.0,2010,5,48190704
168,Gremlins 2: The New Batch,Comedy,50000000,106.0,1990,6,41482207
169,The Back-Up Plan,Comedy,35000000,106.0,2010,4,77477008
170,In Good Company,Comedy,0,109.0,2004,12,0
171,Street Fighter: The Legend of Chun-Li,Action,50000000,97.0,2009,2,12764201
172,Heist,Crime,8900000,93.0,2015,11,4100000
173,The Thief and the Cobbler,Adventure,28000000,72.0,1993,9,669276
174,Harry Potter and the Chamber of Secrets,Adventure,100000000,161.0,2002,11,876688482
175,Jersey Boys,,40000000,134.0,2014,6,67347013
176,Shrek,Adventure,60000000,90.0,2001,5,484409218
177,Focus,Romance,50100000,105.0,2015,2,153962963
178,Showgirls,Drama,45000000,128.0,1995,9,20350754
179,Three Kings,Action,75000000,114.0,1999,9,108000000
180,Hook,Adventure,70000000,144.0,1991,12,300854823
181,The 6th Day,Science Fiction,82000000,123.0,2000,11,96085477
182,Malcolm X,Drama,34000000,202.0,1992,11,48169908
183,The Book of Eli,Action,80000000,118.0,2010,1,157107755
184,Jimmy Neutron: Boy Genius,Action,25000000,83.0,2001,12,80936232
185,Black Water Transit,Drama,0,100.0,2009,5,0
186,Con Air,Action,75000000,115.0,1997,6,224012234
187,Mean Streets,Drama,500000,110.0,1973,10,3000000
188,What's the Worst That Could Happen?,Action,45000000,94.0,2001,5,0
189,Super Mario Bros.,Adventure,48000000,104.0,1993,5,20915465
190,The Hunt for Red October,Action,30000000,134.0,1990,3,199200000
191,Happy Feet Two,Animation,130000000,100.0,2011,11,150406466
192,A Monster in Paris,Adventure,25000000,90.0,2011,10,0
193,88 Minutes,Crime,30000000,108.0,2007,2,16930884
194,Frankenweenie,Animation,39000000,87.0,2012,10,35287788
195,The Bridge of San Luis Rey,Romance,0,120.0,2004,1,0
196,The Royal Tenenbaums,Comedy,21000000,110.0,2001,10,71441250
197,Double Jeopardy,Crime,70000000,105.0,1999,9,177841558
198,Need for Speed,Action,66000000,130.0,2014,3,203277636
199,Spider-Man 3,Fantasy,258000000,139.0,2007,5,890871626
200,Town & Country,Comedy,90000000,104.0,2001,4,10372291
201,Cliffhanger,Action,70000000,112.0,1993,5,255000211
202,Lucky Numbers,Action,65000000,105.0,2000,10,0
203,Jonah Hex,Action,47000000,80.0,2010,6,10539000
204,The Firm,Drama,42000000,154.0,1993,6,270248367
205,Windtalkers,Drama,115000000,134.0,2002,6,77628265
206,Legend of the Guardians: The Owls of Ga'Hoole,Animation,80000000,97.0,2010,7,140073390
207,Galaxy Quest,Comedy,45000000,102.0,1999,12,90683916
208,The Chronicles of Narnia: Prince Caspian,adventure,225000000,150.0,2008,5,419651413
209,The Manchurian Candidate,Drama,80000000,129.0,2004,7,96105964
210,Casino,Drama,52000000,178.0,1995,11,116112375
211,Alatriste,Action,24000000,145.0,2006,9,23321954
212,You Don't Mess with the Zohan,Comedy,90000000,113.0,2008,6,201596308
213,High Crimes,Drama,42000000,115.0,2002,4,63781810
214,The Bodyguard,Thriller,25000000,129.0,1992,11,411006740
215,Return to Me,Romance,24000000,115.0,2000,4,36609995
216,The Island,Action,126000000,136.0,2005,7,162949164
217,Clockstoppers,Adventure,26000000,94.0,2002,3,38793283
218,Dark Shadows,Comedy,150000000,113.0,2012,5,245527149
219,Bad Boys II,Adventure,130000000,147.0,2003,7,273339556
220,Pixels,Action,88000000,105.0,2015,7,243637091
221,15 Minutes,Action,60000000,120.0,2001,3,56359980
222,Dragon Nest: Warriors' Dawn,Adventure,40000000,88.0,2014,5,0
223,Man of the House,Comedy,40000000,100.0,2005,2,0
224,Two Brothers,Adventure,74500000,109.0,2004,4,62172050
225,Volcano,Science Fiction,90000000,104.0,1997,4,0
226,The Thing,Horror,15000000,109.0,1982,6,19629760
227,Fool's Gold,Romance,70000000,112.0,2008,2,111231041
228,Rugrats in Paris: The Movie,Adventure,30,78.0,2000,9,103
229,Deep Impact,Action,75000000,120.0,1998,5,140464664
230,The Men Who Stare at Goats,Comedy,24000000,93.0,2009,10,68729358
231,The Horseman on the Roof,,35000000,135.0,1995,9,15000000
232,London Has Fallen,Action,60000000,99.0,2016,3,205754447
233,Syriana,Drama,50000000,128.0,2005,11,94000000
234,Gothika,Horror,40000000,98.0,2003,11,141591324
235,Money Monster,Thriller,27000000,98.0,2016,5,93282604
236,AVP: Alien vs. Predator,Adventure,70000000,101.0,2004,8,171183863
237,Master and Commander: The Far Side of the World,Adventure,150000000,138.0,2003,11,212011111
238,The Crow,Fantasy,15000000,102.0,1994,5,94000000
239,True Grit,Drama,38000000,110.0,2010,12,252276927
240,Your Highness,Comedy,49900000,102.0,2011,4,26121638
241,The Addams Family,Horror,30000000,99.0,1991,11,191502426
242,Life or Something Like It,Comedy,40000000,103.0,2002,4,16872671
243,Kung Fu Panda 2,Animation,150000000,91.0,2011,5,665692281
244,Æon Flux,Action,62000000,93.0,2005,11,52304001
245,Pride and Prejudice and Zombies,Romance,28000000,108.0,2016,2,16374328
246,The Master,Drama,32000000,137.0,2012,9,28258060
247,Unknown,Action,30000000,113.0,2011,2,130786397
248,The Mirror Has Two Faces,Comedy,42000000,126.0,1996,11,0
249,Open Range,,22000000,139.0,2003,8,68296293
250,Lake Placid,Horror,27000000,82.0,1999,7,56870414
251,Krull,Fantasy,27000000,117.0,1983,7,16519460
252,Sherlock Holmes,Action,90000000,128.0,2009,12,524028679
253,Unbroken,Drama,65000000,137.0,2014,12,163442937
254,What Lies Beneath,Drama,100000000,130.0,2000,7,155464351
255,Riddick,Science Fiction,38000000,119.0,2013,9,98337295
256,"You, Me and Dupree",Comedy,54000000,108.0,2006,7,130431368
257,Seven Pounds,Drama,55000000,123.0,2008,12,168167691
258,Star Wars: Episode II - Attack of the Clones,Adventure,120000000,142.0,2002,5,649398328
259,Hart's War,Drama,70000000,125.0,2002,2,32287044
260,Star Trek: Generations,Science Fiction,38000000,118.0,1994,11,120000000
261,Blood Work,Crime,50000000,110.0,2002,8,26199517
262,Into the Storm,Action,50000000,89.0,2014,8,160602194
263,Harry Potter and the Half-Blood Prince,adventure,250000000,153.0,2009,7,933959197
264,Mission: Impossible II,Adventure,125000000,123.0,2000,5,546388105
265,A Madea Christmas,Comedy,0,100.0,2013,12,0
266,Deliver Us from Evil,Thriller,30000000,118.0,2014,7,0
